Date, Open, High, Low, Close
11/09/21, 1.1588, 1.1609, 1.1570, 1.1596
11/08/21, 1.1551, 1.1597, 1.1550, 1.1587
11/05/21, 1.1555, 1.1575, 1.1514, 1.1567
11/04/21, 1.1614, 1.1619, 1.1528, 1.1557
11/03/21, 1.1581, 1.1617, 1.1563, 1.1611
11/02/21, 1.1606, 1.1615, 1.1576, 1.1580
11/01/21, 1.1563, 1.1610, 1.1545, 1.1605
10/29/21, 1.1683, 1.1691, 1.1535, 1.1563
10/28/21, 1.1604, 1.1693, 1.1583, 1.1683
10/27/21, 1.1597, 1.1627, 1.1584, 1.1603
10/26/21, 1.1608, 1.1627, 1.1584, 1.1596
10/25/21, 1.1645, 1.1666, 1.1591, 1.1610
10/22/21, 1.1623, 1.1657, 1.1621, 1.1646
10/21/21, 1.1652, 1.1668, 1.1620, 1.1626
10/20/21, 1.1634, 1.1660, 1.1617, 1.1650
10/19/21, 1.1612, 1.1670, 1.1608, 1.1632
10/18/21, 1.1601, 1.1624, 1.1571, 1.1614
10/15/21, 1.1599, 1.1621, 1.1587, 1.1599
10/14/21, 1.1595, 1.1625, 1.1583, 1.1600
10/13/21, 1.1529, 1.1599, 1.1527, 1.1596
10/12/21, 1.1554, 1.1571, 1.1524, 1.1531
10/11/21, 1.1580, 1.1587, 1.1549, 1.1555
10/08/21, 1.1554, 1.1585, 1.1542, 1.1577
10/07/21, 1.1558, 1.1574, 1.1548, 1.1553
10/06/21, 1.1600, 1.1605, 1.1529, 1.1559
10/05/21, 1.1621, 1.1623, 1.1581, 1.1599
10/04/21, 1.1597, 1.1641, 1.1587, 1.1620
10/01/21, 1.1581, 1.1608, 1.1563, 1.1594
09/30/21, 1.1599, 1.1610, 1.1563, 1.1577
09/29/21, 1.1683, 1.1691, 1.1589, 1.1598
09/28/21, 1.1698, 1.1704, 1.1669, 1.1684
09/27/21, 1.1717, 1.1729, 1.1684, 1.1696
09/24/21, 1.1740, 1.1748, 1.1701, 1.1721
09/23/21, 1.1689, 1.1751, 1.1683, 1.1739
09/22/21, 1.1726, 1.1756, 1.1684, 1.1688
09/21/21, 1.1725, 1.1749, 1.1715, 1.1727
09/20/21, 1.1728, 1.1738, 1.1701, 1.1728
09/17/21, 1.1763, 1.1789, 1.1724, 1.1726
09/16/21, 1.1819, 1.1823, 1.1751, 1.1765
09/15/21, 1.1803, 1.1833, 1.1800, 1.1816
09/14/21, 1.1810, 1.1846, 1.1800, 1.1804
09/13/21, 1.1811, 1.1819, 1.1769, 1.1811
09/10/21, 1.1824, 1.1852, 1.1809, 1.1810
09/09/21, 1.1816, 1.1843, 1.1805, 1.1825
09/08/21, 1.1841, 1.1853, 1.1803, 1.1818
09/07/21, 1.1870, 1.1886, 1.1838, 1.1843
09/06/21, 1.1880, 1.1888, 1.1856, 1.1871
09/03/21, 1.1876, 1.1909, 1.1866, 1.1879
09/02/21, 1.1840, 1.1878, 1.1833, 1.1874
09/01/21, 1.1810, 1.1859, 1.1793, 1.1842
08/31/21, 1.1797, 1.1848, 1.1795, 1.1808
08/30/21, 1.1800, 1.1811, 1.1783, 1.1799
08/27/21, 1.1751, 1.1804, 1.1735, 1.1797
08/26/21, 1.1773, 1.1782, 1.1746, 1.1752
08/25/21, 1.1756, 1.1776, 1.1726, 1.1771
08/24/21, 1.1747, 1.1766, 1.1727, 1.1759
08/23/21, 1.1699, 1.1751, 1.1692, 1.1745
08/20/21, 1.1678, 1.1706, 1.1664, 1.1701
08/19/21, 1.1711, 1.1718, 1.1666, 1.1679
08/18/21, 1.1709, 1.1744, 1.1695, 1.1709
08/17/21, 1.1779, 1.1785, 1.1707, 1.1707
08/16/21, 1.1799, 1.1803, 1.1767, 1.1777
08/13/21, 1.1730, 1.1805, 1.1728, 1.1797
08/12/21, 1.1741, 1.1749, 1.1724, 1.1729
08/11/21, 1.1718, 1.1755, 1.1705, 1.1740
08/10/21, 1.1738, 1.1744, 1.1709, 1.1722
08/09/21, 1.1764, 1.1770, 1.1735, 1.1736
08/06/21, 1.1832, 1.1838, 1.1755, 1.1764
08/05/21, 1.1837, 1.1859, 1.1828, 1.1834
08/04/21, 1.1866, 1.1902, 1.1832, 1.1839
08/03/21, 1.1871, 1.1894, 1.1854, 1.1865
08/02/21, 1.1869, 1.1898, 1.1860, 1.1873
07/30/21, 1.1886, 1.1909, 1.1852, 1.1868
07/29/21, 1.1843, 1.1894, 1.1841, 1.1888
07/28/21, 1.1819, 1.1851, 1.1773, 1.1844
07/27/21, 1.1804, 1.1843, 1.1770, 1.1818
07/26/21, 1.1772, 1.1819, 1.1764, 1.1803
07/23/21, 1.1772, 1.1787, 1.1756, 1.1771
07/22/21, 1.1797, 1.1831, 1.1758, 1.1770
07/21/21, 1.1781, 1.1806, 1.1752, 1.1796
07/20/21, 1.1803, 1.1804, 1.1756, 1.1783
07/19/21, 1.1804, 1.1825, 1.1764, 1.1800
07/16/21, 1.1812, 1.1824, 1.1791, 1.1805
07/15/21, 1.1837, 1.1851, 1.1797, 1.1810
07/14/21, 1.1779, 1.1841, 1.1771, 1.1838
07/13/21, 1.1862, 1.1877, 1.1772, 1.1776
07/12/21, 1.1876, 1.1882, 1.1836, 1.1863
07/09/21, 1.1846, 1.1883, 1.1825, 1.1879
07/08/21, 1.1789, 1.1868, 1.1784, 1.1847
07/07/21, 1.1825, 1.1840, 1.1782, 1.1791
07/06/21, 1.1864, 1.1897, 1.1807, 1.1823
07/05/21, 1.1865, 1.1883, 1.1850, 1.1864
07/02/21, 1.1849, 1.1876, 1.1808, 1.1865
07/01/21, 1.1857, 1.1885, 1.1838, 1.1851
06/30/21, 1.1897, 1.1911, 1.1845, 1.1858
06/29/21, 1.1927, 1.1930, 1.1879, 1.1899
06/28/21, 1.1933, 1.1946, 1.1904, 1.1924
06/25/21, 1.1934, 1.1977, 1.1926, 1.1938
06/24/21, 1.1927, 1.1958, 1.1919, 1.1930
06/23/21, 1.1943, 1.1971, 1.1912, 1.1926
